year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1913,Его глаза,"Фёдоров, Александр Митрофанович",m,NPRO NOUN,NPRO NOUN,,0,
1913,Первая русская царица,"Череванский, Владимир Павлович",m,ADJF ADJF NOUN,ADJF/PRTF ADJF/PRTF NOUN,,0,
1914,Лилии,"Абельдяев, Дмитрий Алексеевич",m,NOUN,NOUN,Социальный роман,0,3 лицо
1914,Дрогнувшая ночь,"Амфитеатров, Александр Валентинович",m,PRTF NOUN,ADJF/PRTF NOUN,"исторический, любовный",0,1 лицо
1914,Дочь Виктории Павловны,"Амфитеатров, Александр Валентинович",m,NOUN NOUN NOUN,NOUN NOUN NOUN, ,0,1 лицо
1914,Тёмные воды,"Архипов, Николай Архипович",m,ADJF NOUN,ADJF/PRTF NOUN,социально-психологический роман,0,
1914,В потемках жизни,"Брешко-Брешковский, Николай Николаевич",m,PREP NOUN NOUN,PREP NOUN NOUN,социально-психологический,0,3 лицо
1914,В шестидесятых годах (1862 – 1863),"Брянчанинов, Анатолий Александрович",m,PREP ADJF NOUN NUMR NUMR,PREP ADJF/PRTF NOUN NUMR NUMR,исторический,0,
1914,Иго любви,"Вербицкая, Анастасия Алексеевна",f,NOUN NOUN,NOUN NOUN,"светский, любовный",0,3 лицо
1914,Перед бурей,"Верхоустинский, Борис Алексеевич",m,PREP VERB,PREP VERB, ,0, 
1914,На родной почве,"Веселкова-Кильштет, Мария Григорьевна",f,PREP ADJF NOUN,PREP ADJF/PRTF NOUN,исторический,0, 
1914,Заветы отцов,"Винниченко, Владимир Кириллович",m,NOUN NOUN,NOUN NOUN,социально-психологический,0,3 лицо
1914,Две жизни,"Волконский, Михаил Николаевич",m,NUMR NOUN,NUMR NOUN,"историко-авантюрный роман, неофициальная история, шпионский роман",0,3 лицо
1914,Дочь Вильгельма II. Придворный скандал,Граф Амори,m,NOUN NOUN NUMR ADJF NOUN,NOUN NOUN NUMR ADJF/PRTF NOUN,"исторический, любовный",0, 
1914,Возвращение Санина,Граф Амори,m,NOUN NOUN,NOUN NOUN,"философский, любовный, драма",0,3 лицо
1914,Тайны Апраксина двора,Граф Амори,m,NOUN NOUN NOUN,NOUN NOUN NOUN,приключенческий,0,3 лицо
1914,Под молотом истории,"Емельянченко, Иван Яковлевич",m,PREP ADJF NOUN,PREP ADJF/PRTF NOUN,семейный,0, 
