year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1763,"Награждённая постоянность, или Приключения Лизарка и Сарманды","Эмин, Федор Александрович ",m,PRTF NOUN CONJ NOUN NOUN CONJ NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN CONJ NOUN,любовный,0,3 лицо
1763,"Непостоянная фортуна, или Похождения Мирамонда","Эмин, Федор Александрович ",m,ADJF NOUN CONJ NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN,авантюрный,0,3 лицо
1763,"Приключения Фемистокла и разные политические, гражданские, философические, физические и военные его с сыном своим разговоры, постоянная жизнь и жестокость фортуны, его гонящей","Эмин, Федор Александрович ",m,NOUN NOUN CONJ ADJF ADJF ADJF ADJF ADJF CONJ NOUN NPRO PREP NOUN ADJF NOUN ADJF NOUN CONJ NOUN NOUN NPRO PRTF,NOUN NOUN CONJ ADJF ADJF ADJF ADJF ADJF CONJ NOUN NPRO PREP NOUN ADJF NOUN ADJF NOUN CONJ NOUN NOUN NPRO ADJF/PRTF,исторический,0,3 лицо
1766,"Пересмешник, или Славенские сказки","Чулков, Михаил Дмитриевич",m,NOUN CONJ ADJF NOUN,NOUN CONJ ADJF/PRTF NOUN, ,0,3 лицо
1766,Письма Эрнеста и Доравры,"Эмин, Федор Александрович ",m,NOUN NOUN CONJ NOUN,NOUN NOUN CONJ NOUN,"философский, любовный",0,в письмах
1768,"Нума, или процветающий Рим","Херасков, Михаил Матвеевич",m,NOUN CONJ PRTF NOUN,NOUN CONJ ADJF/PRTF NOUN,философский,0,3 лицо
1770,"Славянские древности, или Приключения славянских князей","Попов, Михаил Иванович ",m,ADJF NOUN CONJ NOUN ADJF NOUN,ADJF/PRTF NOUN CONJ NOUN ADJF/PRTF NOUN,"Псевдоисторический, волшебная сказка, галантный роман, рыцарский роман",0,3 лицо
1770,"Пригожая повариха, или Похождение развратной женщины","Чулков, Михаил Дмитриевич",m,ADJF NOUN CONJ NOUN ADJF NOUN,ADJF/PRTF NOUN CONJ NOUN ADJF/PRTF NOUN,"любовный, авантюрный",0,1 лицо
1773,Похождение новомодной красавицы Гуланданы и храброго принца Барама,"Игнатьев, Семен Егорович",m,NOUN ADJF NOUN NOUN CONJ ADJF NOUN NOUN,NOUN ADJF/PRTF NOUN NOUN CONJ ADJF/PRTF NOUN NOUN,"Фантастический, авантюрный, любовный",0,3 лицо
1775,"Несчастный Никанор, или Приключение жизни российского дворянина Н********","Назарьев, Александр Петрович",m,ADJF NOUN CONJ NOUN NOUN ADJF NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN ADJF/PRTF NOUN NOUN, ,0,3 лицо
1778,Небылица,"Веревкин, Михаил Иванович",m,NOUN,NOUN,любовный,0,3 лицо
1779,"Лишенный зрения Ураний, несчастный государь",Иермонах Аполлос,m,PRTF NOUN NOUN ADJF NOUN,ADJF/PRTF NOUN NOUN ADJF/PRTF NOUN,"философский, нравоучительный",0,3 лицо
1780,Неразрывный союз двух братьев,"Аполлос, епископ Архангельский и Холмогорский",m,ADJF NOUN NUMR NOUN,ADJF/PRTF NOUN NUMR NOUN,"философский, нравоучительный",0,3 лицо
1781,"Дикий человек, смеющийся учености и нравам нынешнего света","Богданович, Петр Иванович",m,ADJF NOUN PRTF NOUN CONJ NOUN ADJF NOUN,ADJF/PRTF NOUN ADJF/PRTF NOUN CONJ NOUN ADJF/PRTF NOUN,Критика,0,3 лицо
1782,Повесть о приключении английского милорда Георга и бранденбургской маркграфини Фредерики Луизы,"Комаров, Матвей",m,NOUN PREP NOUN ADJF NOUN NOUN CONJ ADJF NOUN NOUN NOUN,NOUN PREP NOUN ADJF/PRTF NOUN NOUN CONJ ADJF/PRTF NOUN NOUN NOUN,"авантюрный, любовный",0,1 лицо
1782,Добродетельная Розана,"Лазаревич, Василий Васильевич",m,ADJF NOUN,ADJF/PRTF NOUN,,0,3 лицо
1783,Кто есть истинный друг,"Аполлос, епископ Архангельский и Холмогорский",m,NPRO INFN ADJF NOUN,NPRO INFN ADJF/PRTF NOUN,"философский, нравоучительный, аллегорический",0,3 лицо
1783,Досадное пробуждение,"Левшин, Василий Алексеевич",m,ADJF NOUN,ADJF/PRTF NOUN,"сатирический, бытовой",0,3 лицо
1783,Повесть о новомодном дворянине,"Левшин, Василий Алексеевич",m,NOUN PREP ADJF NOUN,NOUN PREP ADJF/PRTF NOUN,сатирический,0,3 лицо
1784,Новейшее путешествие,"Левшин, Василий Алексеевич",m,ADJF NOUN,ADJF/PRTF NOUN,? (утопический),0,3 лицо
1784,"Лейнард и Термилия, или Злосчастная судьба двух любовников","Неелова, Наталья Алексеевна",f,NOUN CONJ NOUN CONJ ADJF NOUN NUMR NOUN,NOUN CONJ NOUN CONJ ADJF/PRTF NOUN NUMR NOUN,Сентиментальная повесть,0,3 лицо
1784,"Путешествие в землю Офирскую господина С..., шведского дворянина","Щербатов, Михаил Михайлович",m,NOUN PREP NOUN ADJF NOUN PREP ADJF NOUN,NOUN PREP NOUN ADJF/PRTF NOUN PREP ADJF/PRTF NOUN,социально-психологический,0,1 лицо
1785,"Похождение Ивана гостиного сына, и другие повести и сказки","Новиков, Иван Алексеевич",m,NOUN NOUN ADJF NOUN CONJ ADJF NOUN CONJ NOUN,NOUN NOUN ADJF/PRTF NOUN CONJ ADJF/PRTF NOUN CONJ NOUN,Авантюрно-плутовской,0, 
1786,"Повесть дворянина T.L. Орлеанской провинции, писанная им самим о жизни деда, отца и своей","Лазинский, Федор",m,NOUN NOUN NOUN ADJF NOUN PRTF NOUN ADJF PREP NOUN NOUN NOUN CONJ ADJF,NOUN NOUN NOUN ADJF/PRTF NOUN ADJF/PRTF NOUN ADJF/PRTF PREP NOUN NOUN NOUN CONJ ADJF/PRTF, ,0,1 лицо
1786,"Лабиринт волшебства, или Удивительные приключения восточных принцев","Протопопов, Василий Михайлович",m,NOUN NOUN CONJ ADJF NOUN ADJF NOUN,NOUN NOUN CONJ ADJF/PRTF NOUN ADJF/PRTF NOUN,"Авантюрный, мотивы волшебно-рыцарского романа, фр. волшебных сказок",0,3 лицо
1786,Роза,"Эмин, Николай Федорович ",m,NOUN,NOUN,социально-психологический,0,в письмах
1787,"Любовь Периандра и Финомены, исполненная чувствительных для нежных сердец приключений","Протопопов, Василий Михайлович",m,NOUN NOUN CONJ NOUN PRTF ADJF PREP ADJF NOUN NOUN,NOUN NOUN CONJ NOUN ADJF/PRTF ADJF/PRTF PREP ADJF/PRTF NOUN NOUN,Псевдоисторический галантно-героический роман,0,3 лицо
1787,История о храбром рыцаре Францыле Венциане и о прекрасной королевне Ренцывене,"Филиппов, Андрей",m,NOUN PREP ADJF NOUN NOUN NOUN CONJ PREP ADJF NOUN NOUN,NOUN PREP ADJF/PRTF NOUN NOUN NOUN CONJ PREP ADJF/PRTF NOUN NOUN, ,0, 
1788,"Повесть о рождении моем, происхождении и всей жизни, писанная мной самим и начатая в Москве 1788 года в августе месяце на 25 году от рождения моего","Долгоруков, Иван Михайлович",m,NOUN PREP NOUN NPRO NOUN CONJ ADJF NOUN PRTF NPRO ADJF CONJ PRTF PREP NOUN NUMR NOUN PREP NOUN NOUN PREP NUMR NOUN PREP NOUN NPRO,NOUN PREP NOUN NPRO NOUN CONJ ADJF/PRTF NOUN ADJF/PRTF NPRO ADJF/PRTF CONJ ADJF/PRTF PREP NOUN NUMR NOUN PREP NOUN NOUN PREP NUMR NOUN PREP NOUN NPRO,семейная хроника,0,1 лицо
1789,"Кривонос-домосед, страдалец модный","Богданович, Петр Иванович",m,NOUN NOUN ADJF,NOUN NOUN ADJF/PRTF,Сатира,0,1 лицо
1789,"Торжествующая добродетель, или Жизнь и приключения гонимого фортуною Селима","Зиновьев, Дмитрий Николаевич",m,PRTF NOUN CONJ NOUN CONJ NOUN ADJF NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN CONJ NOUN ADJF/PRTF NOUN NOUN,Авантюрный,0,3 лицо
1789,"Российская Памела, или История Марии, добродетельной поселянки","Львов, Павел Юрьевич",m,ADJF NOUN CONJ NOUN NOUN ADJF NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN ADJF/PRTF NOUN,любовный,0,3 лицо
1789,Кадм и Гармония,"Херасков, Михаил Матвеевич",m,NOUN CONJ NOUN,NOUN CONJ NOUN,социально-психологический; нравоучительный,0,3 лицо
1789,Игра судьбы,"Эмин, Николай Федорович ",m,NOUN NOUN,NOUN NOUN,"любовный, авантюрный",0,в письмах
1790,Слава русских и горе шведов,"Дмитриев, Александр Иванович",m,NOUN NOUN CONJ NOUN NOUN,NOUN NOUN CONJ NOUN NOUN,исторический,0,1 лицо
1790,"Храм истины, или Видение Сезостриса, царя египетского","Львов, Павел Юрьевич",m,NOUN NOUN CONJ NOUN NOUN NOUN ADJF,NOUN NOUN CONJ NOUN NOUN NOUN ADJF/PRTF,фантастический,0,1 лицо
1790,Путешествие из Петербурга в Москву,"Радищев, Александр Николаевич",m,NOUN PREP NOUN PREP NOUN,NOUN PREP NOUN PREP NOUN,Путешествие,1,1 лицо
1790,Похождение некотораго россиянина,"Хомяков, Петр Захарович",m,NOUN NOUN NOUN,NOUN NOUN NOUN,авантюрный,0,1 лицо
1791,Добродетельный богач,"Городчанинов, Григорий Николаевич",m,ADJF NOUN,ADJF/PRTF NOUN,Нравоучительный,0,н/д
1792,"Переписка двух адских вельмож, Алгабека и Алгамека, находящихся по различным должностям в старом и новом свете","Писарев, Александр Иевлевич",m,NOUN NUMR ADJF NOUN NOUN CONJ NOUN PRTF PREP ADJF NOUN PREP ADJF CONJ ADJF NOUN,NOUN NUMR ADJF/PRTF NOUN NOUN CONJ NOUN ADJF/PRTF PREP ADJF/PRTF NOUN PREP ADJF/PRTF CONJ ADJF/PRTF NOUN,"Эпистолярный, Сатирический",0,1 лицо
1793,Арфаксад,"Захарьин, Петр Михайлович",m,NOUN,NOUN,"Нравоучительный, социально-психологический, философский, авантюрный",0,3 лицо
1793,Повесть о непреоборимой любви Адаманта к Дафнисе,"Черневский, Р. ",m,NOUN PREP ADJF NOUN NOUN PREP NOUN,NOUN PREP ADJF/PRTF NOUN NOUN PREP NOUN,,0,
1794,"Низверженный Зелул, образец злобы, или Жизнь и редкие приключения восточного принца Клеоранда и принцессы Зефизы","Иноградский, Василий Александрович",m,ADJF NOUN NOUN NOUN CONJ NOUN CONJ ADJF NOUN ADJF NOUN NOUN CONJ NOUN NOUN,ADJF/PRTF NOUN NOUN NOUN CONJ NOUN CONJ ADJF/PRTF NOUN ADJF/PRTF NOUN NOUN CONJ NOUN NOUN,"Аллегорический, нравоучительный, авантюрный, социально-психологический, философский, фантастический",0,3 лицо
1794,"Полидор, сын Кадма и Гармонии","Херасков, Михаил Матвеевич",m,NOUN NOUN NOUN CONJ NOUN,NOUN NOUN NOUN CONJ NOUN,"социально-психологический, нравоучительный",0,3 лицо
1796,"Странные приключения Димитрия Магушкина, российского дворянина, описанные им на испанском языке, с которого переведены на немецкий, а с сего на российский язык","Богородский, Василий",m,ADJF NOUN NOUN NOUN ADJF NOUN PRTF NPRO PREP ADJF NOUN PREP ADJF PRTS PREP ADJF CONJ PREP ADJF PREP ADJF NOUN,ADJF/PRTF NOUN NOUN NOUN ADJF/PRTF NOUN ADJF/PRTF NPRO PREP ADJF/PRTF NOUN PREP ADJF/PRTF PRTS PREP ADJF/PRTF CONJ PREP ADJF/PRTF PREP ADJF/PRTF NOUN,"Приключение, похождения",0,1 лицо
1796,Пламир и Раида,"Горчаков, Дмитрий Петрович",m,NOUN CONJ NOUN,NOUN CONJ NOUN,любовный,0,3 лицо
1798,Анекдоты древних пошехонцев,"Березайский, Василий Семенович",m,NOUN NOUN NOUN,NOUN NOUN NOUN,авантюрно-сатирический,0,1 лицо
1798,"Приключения Клеандра, храброго царевича Лакедемонского, и Ниотильды, королевны Фракийской","Захарьин, Петр Михайлович",m,NOUN NOUN ADJF NOUN ADJF CONJ NOUN NOUN ADJF,NOUN NOUN ADJF/PRTF NOUN ADJF/PRTF CONJ NOUN NOUN ADJF/PRTF, ,0,3 лицо
1799,Часы задумчивости,"Галинковский, Яков Андреевич",m,NOUN NOUN,NOUN NOUN, ,0,1 лицо
1799,Желанная встреча,"Запольский, Иван Ипатович",m,ADJF NOUN,ADJF/PRTF NOUN,"философский, аллегорический, нравоучительный",0,3 лицо
1799,"Евгений, или Пагубные следствия дурного воспитания и сообщества","Измайлов, Александр Ефимович",m,NOUN CONJ ADJF NOUN ADJF NOUN CONJ NOUN,NOUN CONJ ADJF/PRTF NOUN ADJF/PRTF NOUN CONJ NOUN,роман воспитания,0,3 лицо
1802,"Мориц, или Жертва мщения","Гнедич, Николай Иванович",m,NOUN CONJ NOUN NOUN,NOUN CONJ NOUN NOUN,любовный,0,3 лицо
1804,"Дикая европеанка, или Исправленное преступление одного добродетелью другого","Башурлов, Максим Петрович",m,ADJF NOUN CONJ PRTF NOUN NPRO NOUN NPRO,ADJF/PRTF NOUN CONJ ADJF/PRTF NOUN NPRO NOUN NPRO,авантюрный,0,1 лицо
1807,Глафира или Прекрасная Валдайка,"Галинковский, Яков Андреевич",m,NOUN CONJ ADJF NOUN,NOUN CONJ ADJF/PRTF NOUN, ,0,в письмах
1807,Всеволод и Велеслава,"Муравьев, Николай Назарьевич",m,NOUN CONJ NOUN,NOUN CONJ NOUN,социально-психологический,0,в письмах
1809,"Храбрый философ Лев Андреевич Громин, сослуживец Силы Андреевича Богатырева","Бранкевич, Михаил Степанович (Стефанович)",m,ADJF NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN,ADJF/PRTF NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN,Нравоучительный,0,1 лицо
1809,"Милена, или Редкий пример великодушия","Извекова, Мария Евграфовна",f,NOUN CONJ ADJF NOUN NOUN,NOUN CONJ ADJF/PRTF NOUN NOUN,соционально-психологический,0,3 лицо
1809,Торжествующая добродетель над коварством и злобою,"Извекова, Мария Евграфовна",f,PRTF NOUN PREP NOUN CONJ NOUN,ADJF/PRTF NOUN PREP NOUN CONJ NOUN,"социально-психологический, любовный",0,3 лицо
1809,"Эмилия, или Печальные следствия безрассудной любви","Извекова, Мария Евграфовна",f,NOUN CONJ ADJF NOUN ADJF NOUN,NOUN CONJ ADJF/PRTF NOUN ADJF/PRTF NOUN,любовный,0,3 лицо
1813,Письма Скимнина,"Львов, Федор Петрович",m,NOUN NOUN,NOUN NOUN,сентиментальный,0,в письмах
1814,"Российский Жилблаз, или Похождения графа Гаврилы Семеновича Чистякова","Нарежный, Василий Трофимович",m,ADJF NOUN CONJ NOUN NOUN NOUN NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN NOUN NOUN NOUN,авантюрный,0,3 лицо
1818,"Евгения, или письма к другу","Георгиевский, Иван Сергеевич",m,NOUN CONJ NOUN PREP NOUN,NOUN CONJ NOUN PREP NOUN,любовный,0,в письмах
1821,"Торжество воспитания, или Исправленный супруг","Свиньин, Павел Петрович",m,NOUN NOUN CONJ PRTF NOUN,NOUN NOUN CONJ ADJF/PRTF NOUN, ,0,в письмах
1822,"Аристион, или Перевоспитание","Нарежный, Василий Трофимович",m,NOUN CONJ NOUN,NOUN CONJ NOUN,роман воспитания,0,3 лицо
1824,Бурсак,"Нарежный, Василий Трофимович",m,NOUN,NOUN,авантюрный,1,1 лицо
1825,"Любовь и вера, или Победа над страстями","Литвинов, Василий Иванович",m,NOUN CONJ NOUN CONJ NOUN PREP NOUN,NOUN CONJ NOUN CONJ NOUN PREP NOUN,любовно-авантюрный,0,3 лицо
1825,Жизнь и мнения нового Тристрама,"Санглен, Яков Иванович, де",m,NOUN CONJ NOUN NOUN NOUN,NOUN CONJ NOUN NOUN NOUN, ,0,1 лицо
1827,Гайдамак,"Сомов, Орест Михайлович",m,NOUN,NOUN,,0,3 лицо
1828,"Амалия, или Хижина среди гор","Зряхов, Николай Ильич",m,NOUN CONJ NOUN PREP NOUN,NOUN CONJ NOUN PREP NOUN, ,0, 
1829,Иван Выжигин,"Булгарин, Фаддей Венедиктович",m,NOUN NOUN,NOUN NOUN,авантюрный,0,1 лицо
1829,"Юрий Милославский, или Русские в 1612 году","Загоскин, Михаил Васильевич",m,NOUN NOUN CONJ ADJF PREP NUMR NOUN,NOUN NOUN CONJ ADJF/PRTF PREP NUMR NOUN,исторический,0,3 лицо
1829,"Черный год, или Горские князья","Нарежный, Василий Трофимович",m,NOUN NOUN CONJ ADJF NOUN,NOUN NOUN CONJ ADJF/PRTF NOUN,"Плутовской роман, авантюрный, сатира, осетины, кавказцы",0,
1830,Димитрий Самозванец,"Булгарин, Фаддей Венедиктович",m,NOUN NOUN,NOUN NOUN,исторический,0,3 лицо
1830,Магнетизер,"Погорельский, Антоний",m,NOUN,NOUN, ,0,3 лицо
1830,Монастырка,"Погорельский, Антоний",m,NOUN,NOUN,семейная хроника,1,1 лицо
1830,"Ягуб Скупалов, или Исправленный муж","Свиньин, Павел Петрович, Бошняк, А.К.",m,NOUN NOUN CONJ PRTF NOUN,NOUN NOUN CONJ ADJF/PRTF NOUN,социально-психологический,0,в письмах
1830,Киргиз-Кайсак,"Ушаков, Василий Аполлонович",m,NOUN,NOUN,социально-психологический,0,3 лицо
1831,Петр Иванович Выжигин,"Булгарин, Фаддей Венедиктович",m,NOUN NOUN NOUN,NOUN NOUN NOUN,"социально-психологический, исторический",0,3 лицо
1831,Странник,"Вельтман, Александр Фомич",m,NOUN,NOUN,авантюрный,0,1 лицо
1831,Ольга Милославская,"Глухарев, Иван Никитич",m,NOUN NOUN,NOUN NOUN,Исторический,0,3 лицо
1831,Поездка в Германию,"Греч, Николай Иванович",m,NOUN PREP NOUN,NOUN PREP NOUN,Социально-психологический,0,1 лицо
1831,"Илья Пройдохин. Открытая тайна на некоторых, или горе от ума или горе без ума","Гурьянов, Иван Гавриилович",m,NOUN NOUN ADJF NOUN PREP ADJF CONJ ADVB PREP NOUN CONJ NOUN PREP NOUN,NOUN NOUN ADJF/PRTF NOUN PREP ADJF/PRTF CONJ ADVB PREP NOUN CONJ NOUN PREP NOUN,"нравоописательный, сатирический",0,1 лицо
1831,"Марина Мнишех, Княжна Сандомирская","Гурьянов, Иван Гавриилович",m,NOUN NOUN NOUN NOUN,NOUN NOUN NOUN NOUN,Исторический,0,3 лицо
1831,Новый Выжигин на Макарьевской ярмарке,"Гурьянов, Иван Гавриилович",m,ADJF NOUN PREP ADJF NOUN,ADJF/PRTF NOUN PREP ADJF/PRTF NOUN,"сатирический, бытовой",0,3 лицо
1831,"Рославлев, или Русские в 1812 году","Загоскин, Михаил Васильевич",m,NOUN CONJ ADJF PREP NUMR NOUN,NOUN CONJ ADJF/PRTF PREP NUMR NOUN,"исторический, любовный",0,3 лицо
1831,Дочь купца Жолобова,"Калашников, Иван Тимофеевич",m,NOUN NOUN NOUN,NOUN NOUN NOUN,"авантюрный, социально-психологический",0,3 лицо
1831,"Последний Новик, или Завоевание Лифляндии в царствование Петра Великого","Лажечников, Иван Иванович",m,ADJF NOUN CONJ NOUN NOUN PREP NOUN NOUN NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN PREP NOUN NOUN NOUN,исторический роман,0,3 лицо
1831,"Село Михайловское, или Помещик XVIII столетия","Миклашевич, Варвара Семеновна",f,NOUN ADJF CONJ NOUN NUMR NOUN,NOUN ADJF/PRTF CONJ NOUN NUMR NOUN,исторический; роман тайн,0,3 лицо
1831,"Эшафот, или Утро вечера мудренее","Олин, Валериан Николаевич",m,NOUN CONJ NOUN NOUN COMP,NOUN CONJ NOUN NOUN COMP,исторический,0,
1831,Удивительный человек!,"Яковлев, Павел Лукьянович",m,ADJF NOUN,ADJF/PRTF NOUN,Исторический,0,
1832,Семейство Холмских,"Бегичев, Дмитрий Никитич",m,NOUN NOUN,NOUN NOUN,социально-психологический,0,3 лицо
1832,"Графиня Рославлева, или Супруга-героиня, отличившаяся в знаменитую войну 1812","Глухарев, Иван Никитич",m,NOUN NOUN CONJ NOUN PRTF PREP ADJF NOUN NUMR,NOUN NOUN CONJ NOUN ADJF/PRTF PREP ADJF/PRTF NOUN NUMR,"исторический, любовный",0,3 лицо
1832,Иван Мазепа,"Голота, Петр Иванович",m,NOUN NOUN,NOUN NOUN,исторический,0,3 лицо
1832,"Рыцарская клятва на гробе, или Два портрета","Де Санглен, Яков Иванович",m,ADJF NOUN PREP NOUN CONJ NUMR NOUN,ADJF/PRTF NOUN PREP NOUN CONJ NUMR NOUN,"исторический, авантюрный",0,3 лицо
1832,"Леонид, или Некоторые черты из жизни Наполеона","Зотов, Рафаил Михайлович",m,NOUN CONJ ADJF NOUN PREP NOUN NOUN,NOUN CONJ ADJF/PRTF NOUN PREP NOUN NOUN,"исторический, авантюрный",0,3 лицо
1832,Андрей Безыменный,"Корнилович, Александр Осипович",m,NOUN NOUN,NOUN NOUN,исторический,0,3 лицо
1832,"Сокольники, или Поколебание владычества татар над Россией","Любецкий, Сергей Михайлович",m,NOUN CONJ NOUN NOUN NOUN PREP NOUN,NOUN CONJ NOUN NOUN NOUN PREP NOUN,исторический,0,3 лицо
1832,"Аннушка Водорацкая, сирота, дочь боярская",М.В.,f,NOUN NOUN NOUN NOUN ADJF,NOUN NOUN NOUN NOUN ADJF/PRTF,Исторический,0,
1832,Стрельцы,"Масальский, Константин Петрович",m,NOUN,NOUN,исторический,1,3 лицо
1832,Клятва при гробе Господнем,"Полевой, Николай Алексеевич",m,NOUN PREP NOUN ADJF,NOUN PREP NOUN ADJF/PRTF,исторический,0,3 лицо
1832,"Шемякин суд, или Последнее междоусобие князей русских","Свиньин, Павел Петрович",m,NOUN NOUN CONJ ADJF NOUN NOUN ADJF,NOUN NOUN CONJ ADJF/PRTF NOUN NOUN ADJF/PRTF,исторический,0,3 лицо
1832,Иона Фаддеевича,"Ушаков, Василий Аполлонович",m,NOUN NOUN,NOUN NOUN,,0,
1833,"Малюта Скуратов, или Тринадцать лет царствования Царя Иоанна Васильевича Грозного",аноним,0,NOUN NOUN CONJ NUMR NOUN NOUN NOUN NOUN NOUN NOUN,NOUN NOUN CONJ NUMR NOUN NOUN NOUN NOUN NOUN NOUN,исторический,0,3 лицо
1833,Княжна Меншикова,"Бантыш-Каменский, Дмитрий Николаевич",m,NOUN NOUN,NOUN NOUN,исторический,0,3 лицо
1833,Мазепа,"Булгарин, Фаддей Венедиктович",m,NOUN,NOUN,исторический,0,3 лицо
1833,Кощей бессмертный,"Вельтман, Александр Фомич",m,NOUN ADJF,NOUN ADJF/PRTF,фантастический,1,3 лицо
1833,MMMCDXLVIII год. Рукопись Мартена-Задека,"Вельтман, Александр Фомич",m,NUMR NOUN NOUN NOUN,NUMR NOUN NOUN NOUN,фантастический,0,3 лицо
1833,"Добромирский и президент Шукайло, или Французские войска в Белоруссии в 1812 году","Герасимов, А.",m,NOUN CONJ NOUN NOUN CONJ ADJF NOUN PREP NOUN PREP NUMR NOUN,NOUN CONJ NOUN NOUN CONJ ADJF/PRTF NOUN PREP NOUN PREP NUMR NOUN,исторический,0,3 лицо
1833,"Братоубийца, или Святополк-Окаянный","Глухарев, Иван Никитич",m,NOUN CONJ NOUN,NOUN CONJ NOUN,исторический,0,3 лицо
1833,Проклятый,"Глухарев, Иван Никитич",m,ADJF,ADJF/PRTF,Исторический,0,3 лицо; 1 лицо
1833,"Наливайко, или Времена бедствий Малороссии","Голота, Петр Иванович",m,NOUN CONJ NOUN NOUN NOUN,NOUN CONJ NOUN NOUN NOUN,исторический,0,3 лицо
1833,Аскольдова могила,"Загоскин, Михаил Васильевич",m,ADJF NOUN,ADJF/PRTF NOUN,исторический,0,3 лицо
1833,Картины дружеских связей,"Зражевская, Александра Васильевна",f,NOUN ADJF NOUN,NOUN ADJF/PRTF NOUN,эпистолярный,0,3 лицо
1833,Камчадалка,"Калашников, Иван Тимофеевич",m,NOUN,NOUN,социально-психологический,0,3 лицо
1833,Федюша Мотовильский,"Кулжинский, Иван Григорьевич",m,NOUN NOUN,NOUN NOUN,социально-психологический,0,1 лицо
1833,Последний год власти герцога Бирона,"Курбатов, А. Д.",m,ADJF NOUN NOUN NOUN NOUN,ADJF/PRTF NOUN NOUN NOUN NOUN,исторический роман,0,3 лицо
1833,Падение Великого Новгорода,"Любецкий, Сергей Михайлович",m,NOUN NOUN NOUN,NOUN NOUN NOUN,исторический,0,
1833,"Василий Делинский, или Новгородцы в XIV столетии",С.Ш.,0,NOUN NOUN CONJ NOUN PREP NUMR NOUN,NOUN NOUN CONJ NOUN PREP NUMR NOUN,исторический,0,
1833,"Эль Тровадор, или Месть за месть","Тонкачеев, Александр Дмитриевич",m,NOUN NOUN CONJ NOUN PREP NOUN,NOUN NOUN CONJ NOUN PREP NOUN,,0,1 лицо
1834,Иоанн Грозный и Стефан Баторий,"Андреев, А.",m,NOUN NOUN CONJ NOUN NOUN,NOUN NOUN CONJ NOUN NOUN,Исторический,0,
1834,Ночь на Рождество Христово,"Баранов, Кузьма Николаевич",m,NOUN PREP NOUN ADJF,NOUN PREP NOUN ADJF/PRTF,Социальный роман,0,3 лицо
1834,Лунатик,"Вельтман, Александр Фомич",m,NOUN,NOUN,"Фантастический, соц.-психологический",0,3 лицо
1834,Клятвопреступница,"Глухарев, Иван Никитич",m,NOUN,NOUN,"социально-бытовой, мелодрама",0,3 лицо
1834,"Хмельницкие, или Присоединение Малороссии","Голота, Петр Иванович",m,NOUN CONJ NOUN NOUN,NOUN CONJ NOUN NOUN,Исторический,0,3 лицо
1834,Черная женщина,"Греч, Николай Иванович",m,ADJF NOUN,ADJF/PRTF NOUN,Социально-психологический,0,3 лицо
1834,Мальвина или предчувствие сердца,"Дубровский, Петр Павлович",m,NOUN CONJ NOUN NOUN,NOUN CONJ NOUN NOUN,Роман,0,3 лицо
1834,"Таинственный монах, или Некоторые черты из жизни Петра I","Зотов, Рафаил Михайлович",m,ADJF NOUN CONJ ADJF NOUN PREP NOUN NOUN NUMR,ADJF/PRTF NOUN CONJ ADJF/PRTF NOUN PREP NOUN NOUN NUMR,"приключенческий, исторический",0,3 лицо
1834,"Карабахский астролог, или Основание крепости Шуши в 1752 году","Зубов, Платон Павлович",m,ADJF NOUN CONJ NOUN NOUN NOUN PREP NUMR NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN NOUN PREP NUMR NOUN,"исторический, ориентальный",0,3 лицо
1834,"Прекрасная грузинка, или Нашествие Аги магмет Хана на Тифлис в 1796 году","Зубов, Платон Павлович",m,ADJF NOUN CONJ NOUN NOUN NOUN NOUN PREP NOUN PREP NUMR NOUN,ADJF/PRTF NOUN CONJ NOUN NOUN NOUN NOUN PREP NOUN PREP NUMR NOUN,"Любовный, кавказский, исторический",0,3 лицо
1834,"Граф Обоянский, или Смоленск в 1812 год. Рассказ инвалида","Коншин, Николай Михайлович",m,NOUN NOUN CONJ NOUN PREP NUMR NOUN NOUN NOUN,NOUN NOUN CONJ NOUN PREP NUMR NOUN NOUN NOUN,"исторический, светский",0,3 лицо
1834,Ледяной дом,"Лажечников, Иван Иванович",m,ADJF NOUN,ADJF/PRTF NOUN,"исторический, любовный",1,3 лицо
1834,Любовь моего соседа,"Лутковский, Николай Петрович",m,NOUN ADJF NOUN,NOUN ADJF/PRTF NOUN,"любовный роман, роман воспитания",0,3 лицо
1834,"Танька, разбойница Ростокинская, или Царские терема","Любецкий, Сергей Михайлович",m,NOUN NOUN ADJF CONJ ADJF NOUN,NOUN NOUN ADJF/PRTF CONJ ADJF/PRTF NOUN,Исторический роман,0,3 лицо
1834,Рождение благословенного дома Романовых на Российском престоле,"Любецкий, Сергей Михайлович",m,NOUN ADJF NOUN NOUN PREP ADJF NOUN,NOUN ADJF/PRTF NOUN NOUN PREP ADJF/PRTF NOUN,исторический,0,
